goalie_id,goalie_name,total_shots_faced,total_xGA,total_GA,raw_gsax,regressed_gsax,league_sv_pct,calculated_at
8470594,Marc-Andre Fleury,520,37.5532,42,-4.4468,-2.267,0.9254,2025-12-15 10:13:14.910556
8470594,,2,0.0507,1,-0.9493,-0.0038,0.9254,2025-12-15 10:13:14.910556
8470594,Marc-Andre Fleury,1652,141.9503,114,27.9503,21.4563,0.9254,2025-12-15 10:13:14.910556
8471734,Jonathan Quick,450,32.2001,22,10.2001,4.8316,0.9254,2025-12-15 10:13:14.910556
8471734,Jonathan Quick,2051,180.5574,138,42.5574,34.2161,0.9254,2025-12-15 10:13:14.910556
8471774,Alex Stalock,4,0.2789,0,0.2789,0.0022,0.9254,2025-12-15 10:13:14.910556
8473503,James Reimer,331,24.0577,23,1.0577,0.4213,0.9254,2025-12-15 10:13:14.910556
8473503,James Reimer,1530,142.8556,104,38.8556,29.2853,0.9254,2025-12-15 10:13:14.910556
8473575,Semyon Varlamov,215,15.2938,15,0.2938,0.0883,0.9254,2025-12-15 10:13:14.910556
8473575,Semyon Varlamov,1474,141.3507,111,30.3507,22.6631,0.9254,2025-12-15 10:13:14.910556
8474593,Jacob Markstrom,639,52.3578,50,2.3578,1.3228,0.9254,2025-12-15 10:13:14.910556
8474593,Jacob Markstrom,4353,398.2576,313,85.2576,76.4736,0.9254,2025-12-15 10:13:14.910556
8474596,Jake Allen,475,38.5148,37,1.5148,0.738,0.9254,2025-12-15 10:13:14.910556
8474596,Jake Allen,3002,274.4941,216,58.4941,50.1426,0.9254,2025-12-15 10:13:14.910556
8474636,Michael Hutchinson,25,2.1599,2,0.1599,0.0076,0.9254,2025-12-15 10:13:14.910556
8474636,Michael Hutchinson,45,3.9928,3,0.9928,0.082,0.9254,2025-12-15 10:13:14.910556
8474682,Dustin Tokarski,172,18.6638,14,4.6638,1.1937,0.9254,2025-12-15 10:13:14.910556
8474889,Martin Jones,6,0.4613,0,0.4613,0.0055,0.9254,2025-12-15 10:13:14.910556
