goalie_id,total_shots_faced,total_xGA,total_GA,raw_gsax,regressed_gsax,league_sv_pct,calculated_at
8470594,10,0.5664,1,-0.4336,-0.0085,0.9319,2025-12-13 20:33:06.698171
8471734,279,16.5291,12,4.5291,1.6221,0.9319,2025-12-13 20:33:06.698171
8474593,552,35.9325,45,-9.0675,-4.7578,0.9319,2025-12-13 20:33:06.698171
8474596,574,37.1772,34,3.1772,1.6981,0.9319,2025-12-13 20:33:06.698171
8475311,768,49.8122,51,-1.1878,-0.7194,0.9319,2025-12-13 20:33:06.698171
8475660,582,37.9559,43,-5.0441,-2.7132,0.9319,2025-12-13 20:33:06.698171
8475683,698,44.7632,55,-10.2368,-5.9643,0.9319,2025-12-13 20:33:06.698171
8475717,354,25.8476,31,-5.1524,-2.1358,0.9319,2025-12-13 20:33:06.698171
8475809,703,42.5562,43,-0.4438,-0.2594,0.9319,2025-12-13 20:33:06.698171
8475831,261,17.2526,17,0.2526,0.0867,0.9319,2025-12-13 20:33:06.698171
8475852,307,22.0169,25,-2.9831,-1.1348,0.9319,2025-12-13 20:33:06.698171
8475883,510,36.5177,47,-10.4823,-5.293,0.9319,2025-12-13 20:33:06.698171
8476341,309,20.0728,22,-1.9272,-0.7361,0.9319,2025-12-13 20:33:06.698171
8476412,647,40.624,57,-16.376,-9.2374,0.9319,2025-12-13 20:33:06.698171
8476434,595,41.2943,48,-6.7057,-3.6437,0.9319,2025-12-13 20:33:06.698171
8476883,691,47.166,35,12.166,7.0585,0.9319,2025-12-13 20:33:06.698171
8476899,160,10.303,10,0.303,0.0735,0.9319,2025-12-13 20:33:06.698171
8476914,475,30.8366,36,-5.1634,-2.5155,0.9319,2025-12-13 20:33:06.698171
8476932,474,28.9427,37,-8.0573,-3.9211,0.9319,2025-12-13 20:33:06.698171
8476945,584,38.2806,30,8.2806,4.4611,0.9319,2025-12-13 20:33:06.698171
8476999,761,49.1075,64,-14.8925,-8.9875,0.9319,2025-12-13 20:33:06.698171
8477424,871,59.3067,59,0.3067,0.1949,0.9319,2025-12-13 20:33:06.698171
8477465,504,34.2988,31,3.2988,1.656,0.9319,2025-12-13 20:33:06.698171
8477480,512,32.923,37,-4.077,-2.0626,0.9319,2025-12-13 20:33:06.698171
8477967,383,25.388,20,5.388,2.337,0.9319,2025-12-13 20:33:06.698171
8477968,566,35.1241,38,-2.8759,-1.527,0.9319,2025-12-13 20:33:06.698171
8477970,279,19.4811,22,-2.5189,-0.9021,0.9319,2025-12-13 20:33:06.698171
8477992,445,27.6105,29,-1.3895,-0.6543,0.9319,2025-12-13 20:33:06.698171
8478007,549,36.224,47,-10.776,-5.6397,0.9319,2025-12-13 20:33:06.698171
8478009,787,56.3093,49,7.3093,4.4696,0.9319,2025-12-13 20:33:06.698171
8478024,235,16.4883,16,0.4883,0.1561,0.9319,2025-12-13 20:33:06.698171
8478048,956,58.2608,54,4.2608,2.7976,0.9319,2025-12-13 20:33:06.698171
8478406,376,22.9032,18,4.9032,2.1046,0.9319,2025-12-13 20:33:06.698171
8478435,655,43.0183,40,3.0183,1.7117,0.9319,2025-12-13 20:33:06.698171
8478470,498,34.3091,48,-13.6909,-6.8317,0.9319,2025-12-13 20:33:06.698171
8478499,145,9.5784,12,-2.4216,-0.5444,0.9319,2025-12-13 20:33:06.698171
8478872,788,55.7637,55,0.7637,0.4673,0.9319,2025-12-13 20:33:06.698171
8478916,694,42.8128,50,-7.1872,-4.1775,0.9319,2025-12-13 20:33:06.698171
8478971,10,0.4893,0,0.4893,0.0096,0.9319,2025-12-13 20:33:06.698171
8479193,435,27.6061,25,2.6061,1.2125,0.9319,2025-12-13 20:33:06.698171
8479292,368,24.8258,23,1.8258,0.7741,0.9319,2025-12-13 20:33:06.698171
8479312,569,33.4989,36,-2.5011,-1.3313,0.9319,2025-12-13 20:33:06.698171
8479361,356,21.1758,19,2.1758,0.9049,0.9319,2025-12-13 20:33:06.698171
8479394,126,9.0691,11,-1.9309,-0.3886,0.9319,2025-12-13 20:33:06.698171
8479406,799,51.8359,48,3.8359,2.3594,0.9319,2025-12-13 20:33:06.698171
8479496,413,31.2039,31,0.2039,0.0922,0.9319,2025-12-13 20:33:06.698171
8479973,826,55.368,57,-1.632,-1.0166,0.9319,2025-12-13 20:33:06.698171
8479979,765,48.5223,47,1.5223,0.9206,0.9319,2025-12-13 20:33:06.698171
8480045,365,22.8446,25,-2.1554,-0.9095,0.9319,2025-12-13 20:33:06.698171
8480051,111,6.1214,12,-5.8786,-1.068,0.9319,2025-12-13 20:33:06.698171
8480193,344,21.5195,21,0.5195,0.2117,0.9319,2025-12-13 20:33:06.698171
8480238,50,3.638,7,-3.362,-0.3056,0.9319,2025-12-13 20:33:06.698171
8480280,859,59.6209,48,11.6209,7.3454,0.9319,2025-12-13 20:33:06.698171
8480313,785,52.6386,44,8.6386,5.2773,0.9319,2025-12-13 20:33:06.698171
8480843,721,49.3983,45,4.3983,2.5972,0.9319,2025-12-13 20:33:06.698171
8480947,663,47.135,52,-4.865,-2.7734,0.9319,2025-12-13 20:33:06.698171
8480981,547,34.9008,34,0.9008,0.4706,0.9319,2025-12-13 20:33:06.698171
8481020,260,18.8477,25,-6.1523,-2.1047,0.9319,2025-12-13 20:33:06.698171
8481033,582,33.0305,32,1.0305,0.5543,0.9319,2025-12-13 20:33:06.698171
