goalie_id,total_saves,puck_freezes,rebound_shots_allowed,effective_saves,adj_rebound_pct,rebound_shots_per_60_saves,league_mean_adjrp,regressed_adjrp_c5000,regressed_adjrp_c10000
8470594,21,0,0,21,0.0,0.0,0.0012509125400318657,0.0012456806811709476,0.0012482911286616763
8471734,185,0,0,185,0.0,0.0,0.0012509125400318657,0.0012062801736083563,0.001228191006413221
8474593,350,0,0,350,0.0,0.0,0.0012509125400318657,0.001169077140216697,0.001208611149789242
8474596,367,0,0,367,0.0,0.0,0.0012509125400318657,0.00116537408238482,0.0012066292466787554
8475311,486,0,0,486,0.0,0.0,0.0012509125400318657,0.001140095278920767,0.0011929358573639765
8475660,344,0,0,344,0.0,0.0,0.0012509125400318657,0.0011703897268262216,0.0012093122003401639
8475683,420,0,0,420,0.0,0.0,0.0012509125400318657,0.0011539783579629758,0.0012004918810286618
8475717,209,0,0,209,0.0,0.0,0.0012509125400318657,0.0012007223459703069,0.001225303692851274
8475809,445,0,0,445,0.0,0.0,0.0012509125400318657,0.0011486800183947343,0.0011976185160668892
8475831,153,0,0,153,0.0,0.0,0.0012509125400318657,0.001213771143054401,0.0012320619915609826
8475852,218,0,0,218,0.0,0.0,0.0012509125400318657,0.0011986513415406916,0.0012242244470854037
8475883,327,0,0,327,0.0,0.0,0.0012509125400318657,0.0011741247794554773,0.0012113029340872139
8476341,188,0,0,188,0.0,0.0,0.0012509125400318657,0.0012055826330299398,0.0012278293482841241
8476412,422,0,0,422,0.0,0.0,0.0012509125400318657,0.0011535526927626942,0.0012002615045402663
8476434,366,0,0,366,0.0,0.0,0.0012509125400318657,0.0011655912598135163,0.0012067456492686336
8476883,459,0,0,459,0.0,0.0,0.0012509125400318657,0.0011457341454770705,0.0011960154317160968
8476899,95,0,0,95,0.0,0.0,0.0012509125400318657,0.0012275883611696425,0.0012391407033500402
8476914,323,0,22,323,0.068111,4.0867,0.0012509125400318657,0.005308014784925668,0.0033429357163923916
8476932,298,0,0,298,0.0,0.0,0.0012509125400318657,0.0011805516610342258,0.0012147140610136587
8476945,391,0,0,391,0.0,0.0,0.0012509125400318657,0.0011601859952067015,0.0012038423058722601
8476999,480,0,0,480,0.0,0.0,0.0012509125400318657,0.0011413435584232351,0.0011936188359082688
8477424,563,0,0,563,0.0,0.0,0.0012509125400318657,0.0011243147043248837,0.0011842398371976386
8477465,317,0,0,317,0.0,0.0,0.0012509125400318657,0.0011763330261725276,0.0012124770185440203
8477480,325,0,0,325,0.0,0.0,0.0012509125400318657,0.0011745657652881367,0.0012115375690381265
8477967,239,0,0,239,0.0,0.0,0.0012509125400318657,0.0011938466692420935,0.0012217135853421874
8477968,377,0,0,377,0.0,0.0,0.0012509125400318657,0.0011632067510060123,0.0012054664546900507
8477970,177,0,0,177,0.0,0.0,0.0012509125400318657,0.0012081442341431966,0.0012291564705039458
8477992,290,0,0,290,0.0,0.0,0.0012509125400318657,0.0011823369943590413,0.0012156584451232903
8478007,372,0,0,372,0.0,0.0,0.0012509125400318657,0.0011642894080713566,0.00120604757041252
8478009,536,0,0,536,0.0,0.0,0.0012509125400318657,0.0011297981756068151,0.0011872746203795232
8478024,144,0,0,144,0.0,0.0,0.0012509125400318657,0.0012158947706375055,0.0012331551064982903
8478048,612,0,0,612,0.0,0.0,0.0012509125400318657,0.0011144979864859815,0.001178771711300288
8478406,257,0,0,257,0.0,0.0,0.0012509125400318657,0.0011897589309795185,0.0012195696012789956
8478435,408,0,0,408,0.0,0.0,0.0012509125400318657,0.0011565389608282782,0.001201875999261977
8478470,290,0,0,290,0.0,0.0,0.0012509125400318657,0.0011823369943590413,0.0012156584451232903
8478499,103,0,0,103,0.0,0.0,0.0012509125400318657,0.0012256638644247164,0.0012381594972105967
8478872,478,0,0,478,0.0,0.0,0.0012509125400318657,0.001141760259247778,0.0011938466692420935
8478916,435,0,0,435,0.0,0.0,0.0012509125400318657,0.001150793505089113,0.001198766209901165
8478971,23,0,0,23,0.0,0.0,0.0012509125400318657,0.001245184690455769,0.0012480420433322015
8479193,279,0,0,279,0.0,0.0,0.0012509125400318657,0.0011848006630345385,0.0012169593735109113
8479292,227,0,0,227,0.0,0.0,0.0012509125400318657,0.0011965874689419034,0.0012231471008427356
8479312,367,0,0,367,0.0,0.0,0.0012509125400318657,0.00116537408238482,0.0012066292466787554
8479361,243,0,0,243,0.0,0.0,0.0012509125400318657,0.0011929358573639765,0.0012212364932459882
8479394,75,0,0,75,0.0,0.0,0.0012509125400318657,0.001232426147814646,0.0012416005360117773
8479406,496,0,0,496,0.0,0.0,0.0012509125400318657,0.0011380208697524252,0.001191799294999872
8479496,271,0,0,271,0.0,0.0,0.0012509125400318657,0.0011865988806980322,0.0012179072534630178
8479973,479,0,0,479,0.0,0.0,0.0012509125400318657,0.001141551870808419,0.001193732741704233
8479979,487,0,0,487,0.0,0.0,0.0012509125400318657,0.0011398874977509256,0.0011928221035871704
